feature,importance
C13H22O,0.14248740301224633
C4HO8O2,0.10465142745948651
C4H8O,0.09882572738283278
C5H10O,0.06273560346288388
C7H11O,0.049891750685907926
C2H4O2,0.04955709479830606
C6H10O2,0.04179798579561592
C8H16O,0.03703614593409329
C10H20O,0.034109982392763714
C2H4O,0.03387185323510907
C13H26O,0.033216413469494624
C6H12O,0.03279105300537818
C11H22O,0.032120750348150706
CH2O,0.02736672683617015
C12H24O,0.027248564384106062
C3H6O,0.026377690309194464
C7H14O,0.025793709209481527
C9H18O,0.02521567090213703
C3H4O2,0.022779940738558296
C9H16O2,0.022099015326803525
C7H6O,0.021105075348072464
C3H4O,0.019468018193766028
C5H8O,0.018557380749853244
C4H6O,0.005252817394937968
C4H6O2,0.005145627521567403
C15H10O,0.00034831017565616957
C4H4O2,0.0001482619274266606
