feature,dtype,count,missing_count,missing_pct,unique,zero_count,zero_pct,min,max,mean,median,std,variance,q1,q3,iqr,skewness,kurtosis,coefficient_of_variation,outlier_count_iqr
CH2O,float64,427,0,0.0,352,0,0.0,0.004,8.296,0.5119382729133489,0.314,0.6409843691306214,0.4108609614697807,0.1615,0.6435,0.482,5.264824212892047,52.04988886908707,1.2520735468416813,31
C2H4O,float64,427,0,0.0,379,0,0.0,0.08,17.18,2.1479613399625292,1.392,2.3934071760011273,5.728397910133691,0.5263915035,2.9050000000000002,2.3786084965,2.5712475872641685,9.132023877600243,1.1142692056286636,21
C3H6O,float64,427,0,0.0,353,0,0.0,0.04,36.82,4.16477007024356,3.41,3.502088426772162,12.264623348931519,2.0095613634999996,5.228501145999999,3.2189397824999997,3.245308027410208,20.321800871232874,0.84088397863639,23
C4H8O,float64,427,0,0.0,289,0,0.0,0.2,8.21,2.1918452134098363,1.92,1.3437841644603499,1.8057558806544007,1.255,2.80062407,1.5456240700000001,1.486826281437676,3.1687972516775664,0.613083513488544,15
C5H10O,float64,427,0,0.0,288,0,0.0,0.03,7.11,1.1372276689227168,1.028031928,0.7694658787694533,0.592077738590447,0.61,1.475,0.8650000000000001,2.1876987098361376,10.63600045052601,0.6766155096264583,15
C6H12O,float64,427,0,0.0,290,27,6.323185011709602,0.0,2.122,0.0896805658969555,0.036,0.179799204248427,0.032327753848367564,0.00715,0.1041,0.09695,6.036802489530604,50.91539023334904,2.0048848092129496,25
C7H14O,float64,427,0,0.0,244,96,22.482435597189696,0.0,1.016,0.026383261056206087,0.00763,0.06868936776208336,0.004718229243554737,0.00065,0.03015,0.0295,9.480804949862044,118.80471114248765,2.6035207556696514,36
C8H16O,float64,427,0,0.0,375,35,8.19672131147541,0.0,0.654733742,0.06255497801639345,0.047386626,0.08256756613062534,0.0068174029767351894,0.008650000000000001,0.08929999999999999,0.08064999999999999,3.8516440227805306,20.534433071517213,1.3199199927620036,17
C9H18O,float64,427,0,0.0,416,5,1.1709601873536302,0.0,2.998695968,0.34078140923419203,0.267,0.3454005914866658,0.11930156859933858,0.11184476199999999,0.46675844749999995,0.35491368549999996,3.209042428683899,16.343453719862154,1.0135546779469398,18
C10H20O,float64,427,0,0.0,427,0,0.0,0.000187677,11.93290323,0.8493709878266978,0.685856739,0.8754689286642332,0.7664458450565003,0.304699544,1.218938964,0.9142394199999999,5.762898690821756,62.87183295830863,1.0307261976351614,7
C11H22O,float64,427,0,0.0,427,1,0.234192037470726,-0.058086515,2.807741935,0.10908060182903981,0.064022686,0.1903620921908779,0.0362377261432883,0.026326779,0.12268411500000001,0.09635733600000002,8.255199330183146,100.71599673308033,1.745150732567732,32
C12H24O,float64,427,0,0.0,422,6,1.405152224824356,0.0,2.807741935,0.1252751838290398,0.091485756,0.19455531916644317,0.03785177221595657,0.03733321,0.1536774205,0.11634421049999999,7.99658731532319,92.66299844428775,1.5530236174464402,20
C13H26O,float64,427,0,0.0,418,10,2.3419203747072603,0.0,2.149677419,0.05541730408196721,0.016219337,0.14518221389845348,0.021077875232456304,0.007484823,0.031461989499999996,0.023977166499999994,8.607578078225647,106.57093452411169,2.619799290194915,72
C4HO8O2,float64,427,0,0.0,295,7,1.639344262295082,0.0,2.539027604,0.25047386253629983,0.135,0.33451885974909973,0.11190286752783786,0.069,0.2835,0.21449999999999997,2.9555750942410715,10.89034983745267,1.3355439819618693,42
C2H4O2,float64,427,0,0.0,315,1,0.234192037470726,-0.0643,2.11,0.2581609351826698,0.225,0.20752077726444884,0.04306487299644099,0.120658185,0.346,0.22534181499999997,2.7616026302718395,16.805531810055754,0.8038426771177097,15
C3H4O,float64,427,0,0.0,150,255,59.71896955503513,-0.015,2.552982456,0.02313678824355972,0.0,0.14005861747420617,0.019616416328786013,0.0,0.00225,0.00225,14.648734740870326,253.52052454191968,6.053503018647907,80
C6H10O2,float64,427,0,0.0,331,29,6.791569086651054,-0.01728,0.325073338,0.008928362030444965,0.002724121,0.023829078263174687,0.0005678249708725043,0.000695,0.007050000000000001,0.006355,7.703456444746877,83.01848434200399,2.6689193585474618,47
C9H16O2,float64,427,0,0.0,260,103,24.121779859484775,-0.00285,0.556762463,0.01015566367915691,0.000818407,0.04318463086766113,0.001864912343176151,1.1200000000000001e-05,0.0046,0.0045888,8.894136235736617,92.16605342789076,4.252270676931887,54
C3H4O2,float64,427,0,0.0,66,333,77.98594847775175,0.0,0.0217,0.0008303704918032789,0.0,0.0028177096749308767,7.939487812199067e-06,0.0,0.0,0.0,4.743940666870809,24.8477216922833,3.3933162398531063,94
C4H6O2,float64,427,0,0.0,36,392,91.80327868852459,0.0,0.016166038,0.0002355810093676815,0.0,0.0013771925296064806,1.8966592636038971e-06,0.0,0.0,0.0,8.730658445825997,84.9753084674929,5.845940355306978,35
C4H6O,float64,427,0,0.0,27,401,93.91100702576112,0.0,0.010572903,0.00013553514519906324,0.0,0.0008553711902014887,7.316598730267113e-07,0.0,0.0,0.0,9.272376525223049,96.31102471724229,6.311065583359855,26
C4H4O2,float64,427,0,0.0,6,422,98.82903981264637,0.0,0.03941,0.0001042405737704918,0.0,0.0019164957283756682,3.672955876882183e-06,0.0,0.0,0.0,20.36471918193774,418.22919586825196,18.385314461096968,5
C5H8O,float64,427,0,0.0,153,275,64.40281030444966,0.0,1.691026393,0.0518007985971897,0.0,0.1497102954620146,0.022413172567323704,0.0,0.021654021500000002,0.021654021500000002,5.921273333414034,48.21428456782398,2.8901155873325988,82
C7H6O,float64,427,0,0.0,89,339,79.39110070257611,0.0,0.062083616,0.0011029839227166278,0.0,0.00530082929868692,2.8098791253817663e-05,0.0,0.0,0.0,7.989086525203062,71.86371925743921,4.80589897052269,88
C7H11O,float64,427,0,0.0,310,118,27.634660421545664,0.0,4.313978495,0.12991549708430913,0.00559242,0.380129566983959,0.14449848769541218,0.0,0.097175063,0.097175063,6.392760578426111,53.377772883006024,2.9259755419114666,57
C13H22O,float64,427,0,0.0,278,150,35.1288056206089,0.0,0.750276435,0.09475672151756441,0.021196396,0.12647097813839595,0.015994908311282623,0.0,0.175188122,0.175188122,1.3268083845152552,1.3166413516970703,1.3346913666166984,2
C15H10O,float64,427,0,0.0,3,425,99.53161592505855,0.0,0.0011696,3.973536299765808e-06,0.0,6.202862944478591e-05,3.847550870798561e-09,0.0,0.0,0.0,17.065064026014333,305.89932136023265,15.61043482815087,2
